"filename", "language", "JavaScript", "JSON", "Batch", "PowerShell", "Objective-C", "C", "XML", "Groovy", "Java Properties", "Java", "Ini", "comment", "blank", "total"
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\Hamr.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 22, 92
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 6, 14, 54
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 9, 15, 99
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\SmbModule.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 336, 0, 5, 101, 442
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\ToastModule.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 377, 0, 60, 147, 584
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 3, 10
"c:\HAMRANDROID\hamr-android\hamr\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 6, 7, 58
"c:\HAMRANDROID\hamr-android\hamr\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 14, 6, 28
"c:\HAMRANDROID\hamr-android\hamr\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\HAMRANDROID\hamr-android\hamr\android\gradlew.bat", "Batch", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 101
"c:\HAMRANDROID\hamr-android\hamr\android\keystores\debug.keystore.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\HAMRANDROID\hamr-android\hamr\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 0, 13
"c:\HAMRANDROID\hamr-android\hamr\app.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\HAMRANDROID\hamr-android\hamr\babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"c:\HAMRANDROID\hamr-android\hamr\components\auth\firstTimeLogin.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 128
"c:\HAMRANDROID\hamr-android\hamr\components\auth\loading.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 135
"c:\HAMRANDROID\hamr-android\hamr\components\auth\logout.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 34
"c:\HAMRANDROID\hamr-android\hamr\components\auth\userLogin.js", "JavaScript", 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 60, 425
"c:\HAMRANDROID\hamr-android\hamr\components\inventory\countComponent.js", "JavaScript", 578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 78, 666
"c:\HAMRANDROID\hamr-android\hamr\components\inventory\cycleCount.js", "JavaScript", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55, 341
"c:\HAMRANDROID\hamr-android\hamr\components\inventory\fullCount.js", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43, 256
"c:\HAMRANDROID\hamr-android\hamr\components\inventory\inventoryParent.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
"c:\HAMRANDROID\hamr-android\hamr\components\inventory\inventoryRouter.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 180
